评论ID,日期,产品名称,评论内容,评分
R001,2024-01-05,无线鼠标,"非常好用，手感舒适，电池续航时间长，强烈推荐！",5
R002,2024-01-08,机械键盘,"按键手感不错，但是声音有点大，适合办公室使用。",4
R003,2024-01-12,USB 集线器,质量一般，用了两个月就坏了，不太满意。,2
R004,2024-01-15,显示器支架,安装简单，稳固性好，大大提升了工作效率。,5
R005,2024-01-20,笔记本电脑包,做工精细，保护性能好，就是价格有点贵。,4
R006,2024-01-25,蓝牙耳机,音质清晰，佩戴舒适，但是降噪效果一般。,4
R007,2024-02-01,无线充电器,充电速度快，设计简洁，非常实用的产品。,5
R008,2024-02-05,数据线,长度合适，传输速度快，性价比高。,5
R009,2024-02-10,移动硬盘,容量大，读取速度快，但是有点重。,4
R010,2024-02-15,智能手表,功能丰富，外观时尚，但是续航时间短。,3
R011,2024-02-20,网络摄像头,画质清晰，安装方便，远程办公必备。,5
R012,2024-02-25,笔记本电脑散热垫,散热效果好，噪音低，值得购买。,5
R013,2024-03-01,无线鼠标,使用一段时间后出现双击问题，质量有待提高。,2
R014,2024-03-05,机械键盘,轴体手感好，RGB 灯效炫酷，但是软件复杂。,4
R015,2024-03-10,USB 集线器,接口多，扩展方便，做工扎实。,5
R016,2024-03-15,显示器支架,调节灵活，节省桌面空间，强烈推荐。,5
R017,2024-03-20,笔记本电脑包,防水性能好，内部隔层合理，保护到位。,5
R018,2024-03-25,蓝牙耳机,连接稳定，续航时间长，但是低音不足。,3
R019,2024-04-01,无线充电器,兼容性好，充电稳定，就是有点发热。,4
R020,2024-04-05,数据线,编织材质，耐用性强，接口紧密。,5
