日期,产品类别,销售额,销售量,地区,客户类型
2024-01-05,电子产品,12500,25,华东,企业客户
2024-01-12,家居用品,8900,45,华北,个人客户
2024-01-18,电子产品,15600,32,华南,企业客户
2024-01-25,办公用品,6700,78,华东,个人客户
2024-02-03,电子产品,18900,38,华北,企业客户
2024-02-10,家居用品,9200,52,华南,个人客户
2024-02-17,办公用品,7100,85,华东,企业客户
2024-02-24,电子产品,21000,42,华北,个人客户
2024-03-02,家居用品,10500,58,华南,企业客户
2024-03-09,办公用品,8200,92,华东,个人客户
2024-03-16,电子产品,24500,48,华北,企业客户
2024-03-23,家居用品,11800,65,华南,个人客户
2024-04-01,电子产品,19800,40,华东,企业客户
2024-04-08,办公用品,7800,88,华北,个人客户
2024-04-15,家居用品,13200,72,华南,企业客户
2024-04-22,电子产品,26700,52,华东,个人客户
2024-05-01,办公用品,9100,95,华北,企业客户
2024-05-08,家居用品,14500,78,华南,个人客户
2024-05-15,电子产品,28900,58,华东,企业客户
2024-05-22,办公用品,10200,105,华北,个人客户
2024-06-01,家居用品,16800,85,华南,企业客户
2024-06-08,电子产品,32100,65,华东,个人客户
2024-06-15,办公用品,11500,112,华北,企业客户
2024-06-22,家居用品,18200,92,华南,个人客户
